Restaurant Name,Restaurant Name Length,Address Length,Has Table Booking (binary),Has Online Delivery (binary),Aggregate rating
Le Petit Souffle,16,71,1,0,4.8
Izakaya Kikufuji,16,67,1,0,4.5
Heat - Edsa Shangri-La,22,56,1,0,4.4
Ooma,4,70,0,0,4.9
Sambo Kojin,11,64,1,0,4.8
Din Tai Fung,12,71,0,0,4.4
Buffet 101,10,83,1,0,4.0
Vikings,7,81,1,0,4.2
Spiral - Sofitel Philippine Plaza Manila,40,69,1,0,4.9
Locavore,8,67,1,0,4.8
Silantro Fil-Mex,16,44,0,0,4.9
Mad Mark's Creamery & Good Eats,31,44,1,0,4.2
Silantro Fil-Mex,16,68,0,0,4.8
Guevarra's,10,68,1,0,4.2
Sodam Korean Restaurant,23,53,0,0,4.3
Cafe Arabelle,13,77,0,0,3.6
Nonna's Pasta & Pizzeria,24,65,0,0,4.0
Balay Dako,10,32,1,0,4.5
Hobing Korean Dessert Cafe,26,103,0,0,4.5
Wildflour Cafe + Bakery,23,97,1,0,4.4
NIU by Vikings,14,92,1,0,4.7
The Food Hall by Todd English,29,87,1,0,4.5
Chez Michou,11,49,0,0,3.0
Caf�� Daniel Briand,19,48,0,0,3.8
Casa do Biscoito Mineiro,24,51,0,0,3.7
Maori,5,47,0,0,3.8
Pizza �� Bessa,14,45,0,0,3.2
Sushi Loko,10,45,0,0,3.1
Beirute,7,46,0,0,3.7
New Koto,8,45,0,0,3.7
Sandubas Caf��,14,67,0,0,0.0
Villa Tevere,12,44,0,0,4.1
Rovereto,8,45,0,0,3.1
Buena Carne,11,59,0,0,3.6
Taco Pep,8,72,0,0,4.3
Coco Bambu,10,65,0,0,4.2
Tayp��,6,64,0,0,3.6
Outback Steakhouse,18,61,0,0,4.0
Manzu��,7,54,0,0,3.2
Coco Bambu,10,73,0,0,4.9
Gero,4,68,0,0,3.3
Brazilian American Burgers,26,47,0,0,3.6
Pesqueiro Eco Gourmet,21,88,0,0,4.0
Confeitaria Colombo,19,47,0,0,4.8
Bibi,4,45,0,0,4.7
